7zip 26.02-1
ghostscript 10.07.1-1
giflib 6.1.3-2
git 2.55.0-1
github-cli 2.98.0-1
glances 4.5.6-1
gleam 1.18.1-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glibmm-2.68 2.88.1-1
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
gmp 6.3.0-3
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-2
gobject-introspection-runtime 1.86.0-2
google-chrome 152.0.7977.82-1
gperf 3.3-2
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gssproxy 0.9.2-3
gst-libav 1.28.6-3
gst-plugin-pipewire 1:1.6.8-1
gst-plugin-va 1.28.6-3
gst-plugins-bad 1.28.6-3
gst-plugins-bad-libs 1.28.6-3
gst-plugins-base 1.28.6-3
gst-plugins-base-libs 1.28.6-3
gst-plugins-good 1.28.6-3
gst-plugins-ugly 1.28.6-3
gstreamer 1.28.6-3
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtkmm-4.0 4.22.0-2
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvfs 1.60.2-4
gvfs-afc 1.60.2-4
gvfs-gphoto2 1.60.2-4
gvfs-mtp 1.60.2-4
gvfs-nfs 1.60.2-4
gvfs-smb 1.60.2-4
gzip 1.14-2
harfbuzz 14.4.0-1
harfbuzz-icu 14.4.0-1
haveged 1.9.26-1
hdparm 9.65-3
helix 25.07.1-2
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hiredis 1.3.0-1
htop 3.5.3-1
hunspell 1.7.3-1
hwdata 0.410-1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1
hwloc 2.14.0-1
hyphen 2.8.9-1
iana-etc 20260617-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.30-1
imath 3.2.3-1
imlib2 1.12.7-3
inetutils 2.8-1
intel-gmmlib 22.10.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inxi 3.3.41.1-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jansson 2.15.1-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.2.1.u1-1
jemalloc 1:5.3.1-3
jfsutils 1.1.15-9
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.08.0-1
karchive 6.29.0-1
kbd 2.10.0-1
kbookmarks 6.29.0-1
kcmutils 6.29.0-1
kcodecs 6.29.0-1
kcolorscheme 6.29.0-1
kcompletion 6.29.0-1
kconfig 6.29.0-1
kconfigwidgets 6.29.0-1
kcontacts 1:6.29.0-1
kcoreaddons 6.29.0-1
kcrash 6.29.0-1
kdbusaddons 6.29.0-1
kdeclarative 6.29.0-1
