7zip 26.02-1
python-sphinxcontrib-jsmath 1.0.1-21
python-sphinxcontrib-qthelp 2.0.0-5
python-sphinxcontrib-serializinghtml 2.0.0-5
python-termcolor 3.3.0-1
python-tqdm 4.70.0-1
python-typing-inspection 0.4.4-1
python-typing_extensions 4.16.0-1
python-urllib3 2.7.0-1
python-userpath 1.9.2-4
python-virtualenv 21.7.7-1
python-wcwidth 0.8.2-1
python-wheel 0.48.0-1
python-yaml 6.0.3-2
qca-qt6 2.3.12-1
qqc2-desktop-style 6.29.0-2
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-tools 5.15.19+kde+r3-1
qt5-translations 5.15.19-1
qt6-5compat 6.11.2-1
qt6-base 6.11.2-3
qt6-connectivity 6.11.2-1
qt6-declarative 6.11.2-1
qt6-multimedia 6.11.2-1
qt6-multimedia-ffmpeg 6.11.2-1
qt6-positioning 6.11.2-1
qt6-shadertools 6.11.2-1
qt6-speech 6.11.2-1
qt6-svg 6.11.2-1
qt6-translations 6.11.2-1
qt6-webchannel 6.11.2-1
qt6-webengine 6.11.2-1
qtkeychain-qt6 0.17.0-1
range-v3 0.12.0-2
raptor 2.0.16-9
rasqal 1:0.9.33-9
rav1e 0.8.1-3
re2 2:2025.11.05-6
readline 8.3.003-1
rebar3 3.27.0-2
rebuild-detector 4.4.5-1
redland 1:1.0.17-10
reflector 2023-5
reflector-simple 2026.8-1
resvg 0.48.1-1
rhash 1.4.6-1
ripgrep 15.2.0-1
ristretto 0.14.0-1
rpcbind 1.2.9-1
rsync 3.5.0-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
runc 1.5.1-1
rust 1:1.98.0-1
s-nail 14.9.25-1
sbc 2.2-1
scrcpy 4.1-2
sd 1.1.0-1
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
sed 4.10-2
serd 0.32.10-1
sg3_utils 1.49-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
signon-kwallet-extension 26.08.0-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-4
signond 8.61-4
slang 2.3.3-4
smartmontools 7.5-1
smbclient 2:4.24.6-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
solid 6.29.0-1
sonnet 6.29.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.1-1
source-highlight 3.1.9-19
spandsp 0.0.6-7
spdlog 1.17.0-2
speech-dispatcher 0.12.1-3
speedtest-cli 2.1.3-10
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
squashfs-tools 4.7.5-1
sratom 0.6.22-1
srt 1.5.7-1
startup-notification 0.12-9
stoken 0.92-6
strace 7.0-1
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
svt-hevc 1.5.1-4
sysfsutils 2.1.1-2
systemd 261.2-1
systemd-libs 261.2-1
systemd-resolvconf 261.2-1
systemd-sysvcompat 261.2-1
taglib 2.3.1-1
talloc 2.5.0-1
tar 1.35-5
tcl 8.6.16-1
tdb 1.4.15-1
tevent 1:0.17.2-1
texinfo 7.3-1
thefuck 3.32-13
thin-provisioning-tools 1.3.3-1
threadweaver 6.29.0-1
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-volman 4.20.0-2
tinysparql 3.11.1-1
tldr 3.4.4-1
tpm2-tss 4.2.0-2
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono 2.304-2
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
ttf-roboto 3.015-1
tumbler 4.20.2-1
twolame 0.4.0-4
tzdata 2026c-1
udisks2 2.11.2-1
unibilium 2.1.2-1
unixodbc 2.3.14-1
unrar 1:7.2.7-1
unzip 6.0-23
upower 1.91.3-1
usb_modeswitch 2.6.2.20251207-1
usbmuxd 1.1.1-4
usbutils 019-1
utf8cpp 4.2.0-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vid.stab 1.1.1-3
vim 9.2.1011-1
vim-runtime 9.2.1011-1
vlc-plugin-a52dec 3.0.23_2-13
vlc-plugin-alsa 3.0.23_2-13
vlc-plugin-archive 3.0.23_2-13
vlc-plugin-dav1d 3.0.23_2-13
vlc-plugin-dbus 3.0.23_2-13
vlc-plugin-dbus-screensaver 3.0.23_2-13
vlc-plugin-faad2 3.0.23_2-13
vlc-plugin-flac 3.0.23_2-13
vlc-plugin-gnutls 3.0.23_2-13
vlc-plugin-inflate 3.0.23_2-13
vlc-plugin-journal 3.0.23_2-13
vlc-plugin-jpeg 3.0.23_2-13
vlc-plugin-matroska 3.0.23_2-13
vlc-plugin-mpg123 3.0.23_2-13
vlc-plugin-ogg 3.0.23_2-13
vlc-plugin-opus 3.0.23_2-13
vlc-plugin-png 3.0.23_2-13
vlc-plugin-shout 3.0.23_2-13
vlc-plugin-speex 3.0.23_2-13
vlc-plugin-tag 3.0.23_2-13
vlc-plugin-theora 3.0.23_2-13
vlc-plugin-twolame 3.0.23_2-13
vlc-plugin-vorbis 3.0.23_2-13
vlc-plugin-vpx 3.0.23_2-13
vlc-plugin-xml 3.0.23_2-13
vlc-plugins-base 3.0.23_2-13
vmaf 3.2.0-1
volume_key 0.3.12-12
vpnc 1:0.5.3.r557.r241-1
vte-common 0.84.1-1
vte3 0.84.1-1
vulkan-icd-loader 1.4.357.0-1
vulkan-intel 1:26.2.1-1
vulkan-mesa-implicit-layers 1:26.2.1-1
wavpack 5.9.0-1
wayland 1.26.0-1
webkit2gtk-4.1 2.52.6-1
webrtc-audio-processing-1 1.3-5
welcome 26.8-1
wezterm-git 20240203.110809.r879.g6f8b1d4-1
wget 1.25.0-6
which 2.25-1
whois 5.6.6-1
wildmidi 0.5.0-1
wireless-regdb 2026.05.30-1
wireplumber 0.5.15-1
woff2 1.0.2-6
wpa_supplicant 2:2.12-1
wxwidgets-common 3.2.11-2
wxwidgets-gtk3 3.2.11-2
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xapp 3.2.2-1
xapp-symbolic-icons 1.1.0-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xfce4-appfinder 4.20.0-2
xfce4-battery-plugin 1.2.0-1
xfce4-mount-plugin 1.2.0-1
xfce4-netload-plugin 1.5.0-1
xfce4-notifyd 0.9.7-2
xfce4-panel 4.20.8-1
xfce4-power-manager 4.20.1-1
xfce4-pulseaudio-plugin 0.5.1-1
xfce4-screensaver 4.20.2-1
xfce4-screenshooter 1.11.3-3
xfce4-session 4.20.4-1
xfce4-settings 4.20.5-1
xfce4-taskmanager 1.6.0-1
xfce4-terminal 1.2.0-1
xfce4-wavelan-plugin 0.7.0-2
xfce4-weather-plugin 0.12.0-2
xfce4-whiskermenu-plugin 2.10.1-2
xfce4-xkb-plugin 0.9.0-1
xfconf 4.20.0-2
xfdesktop 4.20.2-1
xfsprogs 7.1.1-1
xfwm4 4.20.0-2
xkeyboard-config 2.48-1
xl2tpd 1.3.20-1
xmlsec 1.3.12-1
xorg-fonts-encodings 1.1.0-2
xorg-iceauth 1.0.11-1
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkill 1.0.7-1
xorg-xmodmap 1.0.12-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.3-1
xorgproto 2025.1-1
xterm 410-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yad 15.0-2
yay 13.0.1-1
yazi 26.8.15-1
yoga 3.2.1-1
zbar 0.23.93-7
zeromq 4.3.5-3
zimg 3.0.6-2
zint 2.16.0-2
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.10.0-1
zsh 5.9.2-1
zstd 1.5.7-3
zvbi 0.2.44-1
zxing-cpp 3.1.1-1
